,cate_name,book_title,book_author,book_publisher,book_pubdate
0,시,꽃샘바람에 흔들린다면 너는 꽃,류시화,수오서재,2022년 04월 11일
1,시,꽃을 보듯 너를 본다,나태주,지혜,2020년 11월 30일
2,시,백석 정본,백석,문학동네,2022년 03월 30일
3,시,헌팅턴비치에 가면 네가 있을까,이어령,열림원,2022년 03월 07일
4,시,마음챙김의 시,류시화 (엮음),수오서재,2020년 09월 17일
5,시,디 에센셜 김수영(교보문고 특별판),김수영,민음사,2022년 02월 11일
6,시,지금 알고 있는 걸 그때도 알았더라면,류시화 (엮음),열림원,2014년 12월 03일
7,시,가장 예쁜 생각을 너에게 주고 싶다(15만부 기념 교보문고 단독 리커버),나태주,알에이치코리아,2017년 06월 07일
8,시,사랑하라 한번도 상처받지 않은 것처럼,류시화,오래된미래,2008년 10월 24일
9,시,도시가스,이수명,문학과지성사,2022년 04월 14일
10,시,풀꽃,나태주,지혜,2021년 04월 05일
11,시,i에게,김소연,아침달,2018년 09월 10일
12,시,우리가 함께 장마를 볼 수도 있겠습니다,박준,문학과지성사,2018년 12월 13일
13,시,바다는 잘 있습니다,이병률,문학과지성사,2017년 09월 20일
14,시,여름 언덕에서 배운 것,안희연,창비,2020년 07월 24일
15,시,당신은 언제 노래가 되지,허연,문학과지성사,2020년 06월 17일
16,시,당신의 이름을 지어다가 며칠은 먹었다,박준,문학동네,2017년 06월 30일
17,시,입 속의 검은 잎,기형도,문학과지성사,1991년 02월 01일
18,시,너와 함께라면 인생도 여행이다,나태주,열림원,2019년 12월 12일
19,시,서랍에 저녁을 넣어 두었다,한강,문학과지성사,2013년 11월 15일
